method,path,tag,handler,file,line
POST,/api/v1/payments/orders/{order_id}/confirm,payments-v2,confirm_order_route,backend/app/api/v1/routes/payments_v2.py,324
GET,/api/v1/payments/orders/{order_id}/receipt.pdf,payments-v2,get_order_receipt_pdf,backend/app/api/v1/routes/payments_v2.py,257
POST,/api/v1/payments/webhook/razorpay,payments-webhook,razorpay_webhook,backend/app/api/v1/routes/payments_webhook.py,313
POST,/api/v1/payments/webhook/stripe,payments-webhook,stripe_webhook,backend/app/api/v1/routes/payments_webhook.py,334
POST,/api/v1/practice/review,practice,request_practice_review,backend/app/api/v1/routes/practice.py,64
GET,/api/v1/practice/reviews,practice,list_my_reviews,backend/app/api/v1/routes/practice.py,149
GET,/api/v1/preferences/me,preferences,get_my_preferences,backend/app/api/v1/routes/preferences.py,21
PATCH,/api/v1/preferences/me,preferences,update_my_preferences,backend/app/api/v1/routes/preferences.py,30
POST,/api/v1/promotion/confirm,promotion,post_promotion_confirm,backend/app/api/v1/routes/promotion_summary.py,36
GET,/api/v1/promotion/summary,promotion,get_promotion_summary,backend/app/api/v1/routes/promotion_summary.py,24
GET,/api/v1/readiness/diagnostic/north-star,readiness-diagnostic,get_north_star_rate,backend/app/api/v1/routes/readiness.py,310
GET,/api/v1/readiness/diagnostic/sessions,readiness-diagnostic,get_past_diagnoses,backend/app/api/v1/routes/readiness.py,234
POST,/api/v1/readiness/diagnostic/sessions,readiness-diagnostic,post_start_session,backend/app/api/v1/routes/readiness.py,103
POST,/api/v1/readiness/diagnostic/sessions/{session_id}/abandon,readiness-diagnostic,post_abandon_session,backend/app/api/v1/routes/readiness.py,217
POST,/api/v1/readiness/diagnostic/sessions/{session_id}/check-completion,readiness-diagnostic,post_check_completion,backend/app/api/v1/routes/readiness.py,281
POST,/api/v1/readiness/diagnostic/sessions/{session_id}/finalize,readiness-diagnostic,post_finalize_session,backend/app/api/v1/routes/readiness.py,165
